PLMN,Network
22254,Italy-Plintron
22277,Italy-IPSE 2000
40108,Kazakhstan-Kazakhtelecom
25012,Russian Federation-Akos
25018,Russian Federation-Osnova Telecom
360100,Saint Vincent and the Grenadines-Cingular Wireless
21408,Spain-Euskaltel
310014,United States of America-
310660,United States of America-T-Mobile
311400,United States of America-
23429,United Kingdom-aql
42519,Israel-019 Mobile
90167,Worldwide-1NCE GmbH
45421,Hong Kong-21Vianet Mobile Ltd.
45422,Hong Kong-263 Mobile Communications (HongKong) Limited
42511,Israel-365 Telecom
312650,United States of America-365 Wireless LLC
24004,Sweden-SWEDEN
22850,Switzerland-3G Mobile AG
24016,Sweden-42 Telecom AB
24035,Sweden-42 Telecom LTD
20414,Netherlands-6GMOBILE B.V.
43703,Kyrgyzstan-7 Mobile
313100,United States of America-FirstNet
313110,United States of America-FirstNet
65527,South Africa-A to Z Vaal Industrial Supplies Pty Ltd
28988,Abkhazia-A-Mobile
302420,Canada-ABC
23202,Austria-A1 Telekom Austria
23209,Austria-Tele2Mobil
23211,Austria-bob
23212,Austria-yesss!
24450,Finland-Aalto-korkeakoulusäätiö sr
24451,Finland-Aalto-korkeakoulusäätiö sr
24452,Finland-Aalto-korkeakoulusäätiö sr
24453,Finland-Aalto-korkeakoulusäätiö sr
24454,Finland-Aalto-korkeakoulusäätiö sr
24455,Finland-Aalto-korkeakoulusäätiö sr
24456,Finland-Aalto-korkeakoulusäätiö sr
24457,Finland-Aalto-korkeakoulusäätiö sr
24458,Finland-Aalto-korkeakoulusäätiö sr
24459,Finland-Aalto-korkeakoulusäätiö sr
312500,United States of America-AB Spectrum LLC
51524,Philippines-ABS-CBN Mobile
65002,Malawi-Access
27204,Ireland-Access Telecom
52020,Thailand-ACeS
54100,Vanuatu-AIL
312070,United States of America-Adams Networks Inc
74800,Uruguay-Antel
74801,Uruguay-Antel
74803,Uruguay-Antel
21451,Spain-ADIF
50524,Australia-Advanced Communications Technologies Pty. Ltd.
52001,Thailand-AIS
26026,Poland-ATE
90145,Worldwide-Advanced Wireless Network Company Limited
310880,United States of America-DTC Wireless
310850,United States of America-Aeris
26004,Poland-Aero2
26015,Poland-Aero2
26016,Poland-Aero2
26017,Poland-Aero2
41280,Afghanistan-Salaam
41288,Afghanistan-Salaam
64106,Uganda-Vodafone
26048,Poland-AGILE TELECOM S.P.A.
20465,Netherlands-AGMS Netherlands B.V.
310630,United States of America-miSpot
20828,France-Airbus Defence and Space SAS
61207,Ivory Coast-café
21434,"Spain-Aire Networks del Mediterráneo, S.L.U."
310034,United States of America-Airpeak
65575,South Africa-ACSA
302290,Canada-Airtel Wireless
23478,United Kingdom-Airwave
60404,Morocco-Al Houria Telecom
60499,Morocco-Al Houria Telecom
60602,Libya-Al-Jeel Phone
21436,"Spain-ALAI OPERADOR DE TELECOMUNICACIONES, S.L"
310050,United States of America-GCI
310190,United States of America-GCI
312880,United States of America-Albemarle County Public Schools
43705,Kyrgyzstan-MegaCom
72432,Brazil-Algar Telecom
72433,Brazil-Algar Telecom
60307,Algeria-AT
60309,Algeria-AT
310054,United States of America-Alltel US
24013,Sweden-Alltele Företag Sverige AB
302250,Canada-ALO
42514,Israel-Youphone
61003,Mali-Telecel
21402,Spain-Altecom/Fibracat
40107,Kazakhstan-Altel
502156,Malaysia-Altel
24222,Norway-Altibox AS
20808,France-SFR
20809,France-SFR
20811,France-SFR
20813,France-SFR
37001,Dominican Republic-Altice
37003,Dominican Republic-Altice
313390,"United States of America-Altice USA Wireless, Inc."
311770,"United States of America-Altiostar Networks, Inc."
43802,Turkmenistan-TM-Cell
54509,Kiribati-Kiribati - Frigate Net
41420,Myanmar-ACS
41421,Myanmar-ACS
65536,South Africa-Amatole Telecommunications Pty Ltd
72424,Brazil-Amazonia Celular
46612,Taiwan-Ambit Microsystems
302300,Canada-ECOTEL
302310,Canada-ECOTEL
20207,Greece-AMD Telecom
26018,Poland-AMD Telecom
311780,American Samoa (USA)-ASTCA
311780,United States of America-ASTCA
23470,United Kingdom-AMSUK Ltd.
722320,Argentina-Claro
722330,Argentina-Claro
40479,India-cellone
40413,India-Vodafone India
40473,India-cellone
40501,India-Reliance
405819,India-Uninor
405908,India-IDEA
405912,India-Etisalat DB(cheers)
60321,Algeria-ANESRIF
50546,Australia-AngloGold Ashanti Australia Ltd
312520,United States of America-ANIN
