PLMN,Network
24040,Sweden-Netmore Group AB
60706,Gambia-NETPAGE
302790,Canada-NetSet Communications
65904,South Sudan-Vivacell
23595,United Kingdom-Network Rail Infrastructure Limited
23412,United Kingdom-Railtrack
23413,United Kingdom-Railtrack
311380,United States of America-New Dimension Wireless Ltd.
310100,United States of America-Plateau Wireless
302703,Canada-New Tel Mobility (Aliant)
310600,United States of America-Cellcom
310460,United States of America-Conecto
311530,United States of America-NewCore
311100,United States of America-Nex-Tech Wireless
312420,United States of America-Nex-Tech Wireless
50527,Australia-Nexium Telecommunications
51588,Philippines-Next Mobile Inc.
316010,United States of America-Nextel
20460,Netherlands-Nextgen Mobile Ltd
26037,Poland-NEXTGEN MOBILE LTD
23804,Denmark-NextGen Mobile Ltd T/A CardBoardFish
20616,Belgium-NextGen Mobile Ltd.
24030,Sweden-NextGen Mobile Ltd.
311300,"United States of America-Nexus Communications, Inc."
26279,Germany-ng4T GmbH
312560,United States of America-NHLT Inc.
722020,Argentina-Nextel
72400,Brazil-Nextel
72439,Brazil-Nextel
25003,Russian Federation-NCC
26273,Germany-Nokia
313540,United States of America-Nokia Innovations US LLC
24290,Norway-Nokia Solutions and Networks Norge AS
24407,Finland-Nokia
24408,Finland-Nokia
24409,Finland-Nokia Solutions and Networks Oy
24438,Finland-Nokia Solutions and Networks Oy
24439,Finland-Nokia Solutions and Networks Oy
24440,Finland-Nokia Solutions and Networks Oy
24441,Finland-Nokia Solutions and Networks Oy
73016,Chile-Nomade Telecomunicaciones S.A.
23006,Czech Republic-Nordic Telecom 5G a.s.
23004,Czech Republic-Nordic Telecom s.r.o.
26011,Poland-Nordisk Polska
50510,Australia-Norfolk Is.
50510,Norfolk Island-Norfolk Telecom
311610,United States of America-SRT Communications
312230,United States of America-SRT Communications
40450,India-Reliance
40477,India-cellone
405755,India-Vodafone India
405849,India-IDEA
310017,United States of America-ProxTel
311710,United States of America-Northeast Wireless Networks LLC
312920,United States of America-Northeast Wireless Networks LLC
312590,United States of America-NMU
311420,United States of America-NorthwestCell
312150,United States of America-NorthwestCell
24210,Norway-Norwegian Communications Authority
61804,Liberia-Novafone
73004,Chile-WOM
73009,Chile-WOM
22207,Italy-Kena Mobile
310510,United States of America-Cellcom
311840,United States of America-Cellcom
311850,United States of America-Cellcom
310620,United States of America-Cellcom
24812,Estonia-Ntel Solutions OÜ
312610,United States of America-nTelos
312660,United States of America-nTelos
22864,Switzerland-Nth AG
313040,United States of America-NNTC Wireless
27406,Iceland-Núll níu ehf
310440,United States of America-Numerex
310640,United States of America-Numerex
43709,Kyrgyzstan-O!
23291,Austria-GSM-R A
338070,Jamaica-Claro
54502,Kiribati-OceanLink
27403,Iceland-Vodafone
41505,Lebanon-Ogero Mobile
44078,Japan-au
63517,Rwanda-Olleh
42204,Oman-Omantel
41892,Iraq-Omnnea
90115,Worldwide-OnAir
61301,Burkina Faso-Telmob
64203,Burundi-Onatel
50599,Australia-One.Tel
50508,Australia-One.Tel
29402,North Macedonia-vip
90160,Worldwide-OneWeb
26805,"Portugal-Oniway - Inforcomunicaçôes, S.A."
63770,Somalia-Onkod Telecom Ltd.
23873,Denmark-Onomondo ApS
312850,"United States of America-Onvoy Spectrum, LLC"
43409,Uzbekistan-EVO
90147,Worldwide-Ooredoo
313380,United States of America-OptimERA Inc.
72436,Brazil-Options Telecomunicações
50517,Australia-Optus
50536,Australia-Optus
61203,Ivory Coast-Orange
65202,Botswana-Orange
23206,Austria-Orange AT
62402,Cameroon-Orange
21409,Spain-Orange
21421,Spain-Jazztel
21419,Spain-Simyo
64700,French Indian Ocean Territories (France)-Orange
61807,Liberia-Orange LBR
64602,Madagascar-Orange
90131,Worldwide-Orange
20802,France-Orange
20832,France-Orange
20891,France-Orange S.A.
20895,France-Orange S.A.
23105,Slovakia-Orange
61206,Ivory Coast-GreenN
22007,Serbia-Orion Telekom
40452,India-Reliance
40476,India-cellone
40517,India-Reliance
405753,India-Vodafone India
20204,Greece-OSE
20203,Greece-OTE
74003,Ecuador-Tuenti
311560,United States of America-OTZ Cellular
54001,Solomon Islands-BREEZE
34002,French Antilles (France)-SFR Caraïbe
24416,Finland-Tele2
24804,Estonia-Top Connect
342800,Barbados-Ozone
26098,Poland-Play
47005,Bangladesh-Citycell
310810,United States of America-Pacific Lightwave Inc.
54715,French Polynesia (France)-Vodafone
50518,Australia-Pactel
313320,United States of America-Paladin Wireless
55202,Palau-PT Waves
55299,Palau-PMCI
55280,Palau-Palau Mobile
55201,Palau-PNCC
44008,"Japan-Panasonic Systems Solutions Japan Co., Ltd."
311450,United States of America-PTCI
64904,Namibia-Paratus Telecommunications (Pty)
42510,Israel-Partner
42524,Israel-012 Mobile
45420,Hong Kong-PCCW Mobile (4G)
45429,Hong Kong-PCCW Mobile (CDMA)
36274,Former Netherlands Antilles-PCS N.V.
313410,United States of America-pdvWireless
26023,Poland-PGE Systemy S.A.
42528,Israel-PHI Networks
25599,Ukraine-Phoenix
65516,South Africa-Phoenix System Integration (Pty) Ltd
26031,Poland-Phone IT
26028,Poland-PhoneNet
24207,Norway-Phonero
50525,Australia-Pilbara Iron Company Services Pty Ltd
311670,United States of America-Pine Belt Wireless
311080,United States of America-Pine Cellular
310790,United States of America-BLAZE
311290,United States of America-BLAZE
50550,Australia-Pivotel Group Pty Limited
50588,Australia-Pivotel Group Pty Limited
26035,Poland-PKP Polskie Linie Kolejowe S.A.
51511,Philippines-PLDT via ACeS Philippines
51518,Philippines-Cure
23222,Austria-Plintron Austria Limited
90165,Worldwide-Plintron Global Technology Solutions Pty Ltd
23005,Czech Republic-PODA a.s.
26005,Poland-Orange
72454,Brazil-Conecta
22233,Italy-Poste Mobile
330000,Puerto Rico-Open Mobile
330120,Puerto Rico-Open Mobile
312990,United States of America-Premier Broadband
24815,Estonia-Premium Net International S.R.L. Eesti filiaal
28210,Georgia-Premium Net International SRL
25092,Russian Federation-Primtelefon
20429,Netherlands-Private Mobile Ltd
20424,Netherlands-Private Mobility Nederland B.V.
25509,"Ukraine-PRJSC ""Farlep-Invest"""
25505,Ukraine-Kyivstar
25521,Ukraine-PEOPLEnet
25525,Ukraine-NEWTONE
24806,Estonia-Progroup Holding
20421,Netherlands-ProRail B.V.
311540,United States of America-Proximiti Mobility Inc.
311730,United States of America-Proximiti Mobility Inc.
51099,Indonesia-Esia
51078,Indonesia-Hinet
51003,Indonesia-StarOne
51088,Indonesia-BOLT! 4G LTE
51028,Indonesia-Fren/Hepi
51000,Indonesia-PSN
51027,Indonesia-Net 1
51009,Indonesia-Smartfren
51401,East Timor-Telkomcel
51007,Indonesia-TelkomFlexi
51020,Indonesia-TELKOMMobile
41002,Pakistan-3G EVO / CharJi 4G
310500,United States of America-Alltel
313510,United States of America-Puerto Rico Telecom Company
313490,"United States of America-Puloli, Inc."
40453,India-cellone
40518,India-Reliance
405851,India-IDEA
61907,Sierra Leone-Qcell Sierra Leone
302590,Canada-Quadro Mobility
26274,Germany-Qualcomm CDMA Technologies GmbH
738003,Guyana-Quark Communications Inc.
50521,Australia-Queensland Rail Limited
334120,"Mexico-Quickly Phone, S.A. de C.V."
21416,Spain-TeleCable
21417,Spain-Móbil R
20401,Netherlands-RadioAccess Network Services
50513,Australia-RailCorp
40459,India-cellone
40460,India-Vodafone India
40519,India-Reliance
44011,"Japan-Rakuten Mobile Network, Inc."
42516,Israel-Rami Levy
50528,Australia-RCOM International Pty Ltd
22605,Romania-Digi.Mobil
313480,"United States of America-Ready Wireless, LLC"
24031,Sweden-RebTel Network AB
26044,Poland-Rebtel Poland Sp. z o.o.
21431,"Spain-Red Digital De Telecomunicaciones de las Islas Baleares, S.L."
313370,"United States of America-Red Truck Wireless, LLC"
312780,United States of America-Redzone Wireless
20887,France-RATP
20896,France-Région Bourgogne-Franche-Comté
22851,Switzerland-relario AG
62805,Gabon-RAG
314100,United States of America-Reserved for Public Safety
22230,Italy-RFI
24706,Latvia-Rigatta
20468,Netherlands-Roamware (Netherlands) B.V.
302320,Canada-Rogers Wireless
302721,Canada-Rogers Wireless
302820,Canada-Rogers Wireless
302920,Canada-Rogers Wireless
25039,Russian Federation-Rostelecom
302540,Canada-Rovvr Communications Inc.
50544,Australia-Roy Hill Iron Ore Pty Ltd
52009,Thailand-Royal Thai Police
311430,United States of America-Chat Mobility
312160,United States of America-Chat Mobility
312320,United States of America-RTC Communications LLC
43406,Uzbekistan-Perfectum Mobile
64001,Tanzania-Rural NetCo Limited
63511,Rwanda-Rwandatel
63512,Rwanda-Rwandatel
45203,Vietnam-S-Fone
21412,"Spain-SAC CONVERGENT AGGREGATION SERVICES, S.L.U."
64603,Madagascar-Sacel
63901,Kenya-Safaricom
311350,United States of America-Nemont
312480,United States of America-Nemont
312600,United States of America-Nemont
312640,United States of America-Nemont
43710,Kyrgyzstan-Saima Telecom
44006,Japan-SAKURA Internet Inc.
23221,"Austria-Salzburg AG für Energie, Verkehr und Telekommunikation"
43210,Iran-Samantel
313470,United States of America-San Diego Gas & Electric Company
29201,San Marino-PRIMA
312820,"United States of America-Santel Communications Cooperative, Inc."
50534,Australia-Santos Limited
90157,Worldwide-SAP
302680,Canada-SaskTel
302750,Canada-SaskTel
65504,South Africa-Sasol (Pty) Ltd.
24415,Finland-SAMK
42021,Saudi Arabia-RGSM
22806,Switzerland-SBB-CFF-FFS
25011,Russian Federation-Yota
21427,Spain-Truphone
24429,Finland-SCNL Truphone
41005,Pakistan-SCO Mobile
41008,Pakistan-SCO Mobile
45611,Cambodia-SEATEL
20886,France-SEM@FOR77
63908,Kenya-Sema Mobile Services Limited
65506,South Africa-Sentech (Pty) Ltd
72415,Brazil-Sercomtel
54301,Wallis and Futuna-Manuia
36301,Aruba-SETAR
334060,"Mexico-Servicios de Acceso Inalambrico, S.A. de C.V."
732230,Colombia-Setroc Mobile Group SAS
25033,Russian Federation-Sevmobile
302880,Canada-Bell / Telus / SaskTel
43208,Iran-Shatel Mobile
302490,Canada-Freedom Mobile
302491,Canada-Freedom Mobile
302740,Canada-Shaw Telecom
313500,"United States of America-Shelcomm, Inc."
45003,South Korea-Power 017
53943,Tonga-Shoreline Communication
23452,United Kingdom-Shyam Telecom UK Ltd
24041,Sweden-Shyam Telecom UK Ltd.
311910,United States of America-MobileNation
24707,"Latvia-SIA ""MEGATEL"""
26019,Poland-SIA NetBalt
26027,Poland-SIA Ntel Solutions
25004,Russian Federation-Sibchallenge
26276,Germany-Siemens AG
61906,Sierra Leone-SierraTel
24015,Sweden-Sierra Wireless Sweden AB
28205,Georgia-S1
28208,Georgia-Silk LTE
312430,United States of America-Silver Star Communications
64116,Uganda-SimbaNET Uganda Limited
52507,Singapore-SingTel
50590,Australia-Optus
26212,Germany-Simquadrat
26233,Germany-simquadrat
26222,Germany-sipgate Wireless GmbH
24871,Estonia-Siseministeerium (Ministry of Interior)
65517,South Africa-Sishen Iron Ore Company (Ltd) Pty
72401,Brazil-SISTEER DO BRASIL TELECOMUNICAÇÔES
45012,South Korea-SKTelecom
23457,United Kingdom-Sky UK Limited
42891,Mongolia-Skytel
23104,Slovakia-Telekom
45602,Cambodia-Smart
45605,Cambodia-Smart
45606,Cambodia-Smart
90133,Worldwide-Smart Communications
26043,Poland-Smart Idea International Sp. z o.o.
42904,Nepal-SmartCell
23224,Austria-Smartel Services GmbH
45506,Macau (China)-SmarTone
45415,Hong Kong-SmarTone Mobile Communications Limited
45417,Hong Kong-SmarTone Mobile Communications Limited
25015,Russian Federation-SMARTS
23218,Austria-smartspace GmbH
24816,Estonia-dzinga
62127,Nigeria-Smile
64133,Uganda-Smile
64011,Tanzania-SmileCom
310320,United States of America-Cellular One
65546,South Africa-SMS Cellular Services (Pty) Ltd
22239,Italy-SMS Italia
23825,Denmark-Viahub
24442,Finland-SMS Provider Corp.
24046,Sweden-Viahub
26047,Poland-SMShighway Limited
65524,South Africa-SMSPortal (Pty) Ltd.
22856,Switzerland-SMSRelay AG
20814,France-SNCF Réseau
43221,Iran-Rightel
73019,Chile-móvil Falabella
20898,France-Société Air France
20804,France-Sisteer
27071,Luxembourg-CFL
64710,French Indian Ocean Territories (France)-SFR Réunion
44000,Japan-Y!Mobile
44021,Japan-SoftBank
44101,Japan-SoftBank
63704,Somalia-Somafone
63720,Somalia-SOMNET
63771,Somalia-Somtel
60801,Senegal-Orange
25091,Russian Federation-Sonic Duo
311820,United States of America-Sonus Networks
29510,Liechtenstein-Soracom LI Ltd.
61102,Guinea-Sotelgui
62202,Chad-Tawali
62207,Chad-Salam
65541,South Africa-South African Police Service
65511,South Africa-South African Police Service Gauteng
312080,United States of America-SyncSouth
312840,United States of America-South Georgia Regional Information Technology Authority
310015,United States of America-Southern LINC
312720,United States of America-Southern LINC
316011,United States of America-Southern LINC
311060,United States of America-Space Data Corporation
61603,Benin-MTN
42102,Yemen-MTN
53006,New Zealand-Skinny
20426,Netherlands-SpeakUp B.V.
40005,Azerbaijan-Special State Protection Service of the Republic of Azerbaijan
62124,Nigeria-Spectranet
313450,"United States of America-Spectrum Wireless Holdings, LLC"
70299,Belize-SMART
313080,United States of America-Speedwavz LLP
24045,Sweden-Spirius AB
23098,"Czech Republic-Správa železni?ní dopravní cesty, s.o."
310053,United States of America-Virgin Mobile
310830,United States of America-Sprint
311260,United States of America-Sprint
311490,United States of America-Sprint
311870,United States of America-Boost Mobile
311880,United States of America-Sprint
311882,United States of America-Sprint
311940,United States of America-Sprint
312190,United States of America-Sprint
312240,United States of America-Sprint
312250,United States of America-Sprint
312530,United States of America-Sprint
65301,Swaziland-SPTC
41312,Sri Lanka-SLT
302480,Canada-Qiniq
30801,Saint Pierre and Miquelon (France)-Ameris
22810,Switzerland-Stadt Polizei Zürich
311640,United States of America-Rock Wireless
302550,Canada-Star Solutions International Inc.
52506,Singapore-StarHub
25044,Russian Federation-Stavtelesot / North Caucasian GSM
42604,Bahrain-STC
311360,United States of America-Stelera Wireless
23424,United Kingdom-Greenfone
65907,South Sudan-Sudani
63407,Sudan-Sudani One
732199,Colombia-SUMA Movil SAS
342820,Barbados-Sunbeach Communications
22812,Switzerland-Sunrise
22860,Switzerland-Sunrise
24433,Finland-VIRVE
63005,Democratic Republic of the Congo-Supercell
99501,British Indian Ocean Territory (UK)-FonePlus
23455,Guernsey (UK)-Sure Mobile
23455,United Kingdom-Sure Mobile
23455,Jersey (UK)-Sure Mobile
23436,Isle of Man (UK)-Sure Mobile
23436,United Kingdom-Sure Mobile
750001,Falkland Islands (UK)-Sure
65801,"Saint Helena, Ascension and Tristan da Cunha-Sure"
62008,Ghana-Surfline
24005,Sweden-Sweden 3G
23103,Slovakia-4ka
65302,Swaziland-Swazi Mobile Limited
62126,Nigeria-Swift
22811,Switzerland-Swisscom Broadcast AG
22899,Switzerland-Swisscom Broadcast AG
29501,Liechtenstein-Swisscom
20830,France-Syma Mobile
21413,"Spain-SYMA MOBILE ESPAÑA, S.L."
338040,Jamaica-Caricel
20823,France-Syndicat mixte ouvert Charente Numérique
23437,United Kingdom-Synectiv Ltd
23803,Denmark-Syniverse Technologies
310550,United States of America-Syniverse Technologies
310720,United States of America-Syniverse Technologies
27080,Luxembourg-Syniverse Technologies S.à r.l.
90164,"Worldwide-Syniverse Technologies, LLC"
41709,Syria-Syrian Telecom
41701,Syria-Syriatel
311930,United States of America-Syringa Wireless
24211,Norway-SystemNet
29310,"Slovenia-SŽ - Infrastruktura, d.o.o."
29364,Slovenia-T-2
310200,United States of America-T-Mobile
310210,United States of America-T-Mobile
310220,United States of America-T-Mobile
310230,United States of America-T-Mobile
310240,United States of America-T-Mobile
310250,United States of America-T-Mobile
310270,United States of America-T-Mobile
310310,United States of America-T-Mobile
310490,United States of America-T-Mobile
310800,United States of America-T-Mobile
23207,Austria-tele.ring
23204,Austria-Magenta
23213,Austria-Magenta
23223,Austria-Magenta
29702,Montenegro-T-Mobile
22004,Serbia-T-Mobile
26010,Poland-T-Mobile
26034,Poland-NetWorkS!
310160,United States of America-T-Mobile
46690,Taiwan-T Star
502154,Malaysia-Tron
23416,United Kingdom-Talk Talk
40480,India-cellone
40520,India-Reliance
64104,Uganda-Tangerine Uganda Limited
64007,Tanzania-TTCL Mobile
40277,Bhutan-TashiCell
25027,Russian Federation-Letai
25054,Russian Federation-TTK
46668,Taiwan-Tatung InfoComm
43232,Iran-Taliya
43299,Iran-TCI (GSM WLL)
23810,Denmark-TDC
722040,Argentina-Globalstar
24427,Finland-Teknologian tutkimuskeskus VTT Oy
24428,Finland-Teknologian tutkimuskeskus VTT Oy
311740,United States of America-Telalaska Cellular
24443,Finland-Telavox AB / Telavox Oy
26014,Poland-Telco Leaders Ltd
64702,French Indian Ocean Territories (France)-Only
64703,French Indian Ocean Territories (France)-Free
63782,Somalia-Telcom
72435,Brazil-Telcom Telecomunicações
22808,Switzerland-Tele4u
24810,Estonia-Telcotrade OÜ
26224,Germany-TelcoVillage GmbH
21912,Croatia-TELE FOCUS d.o.o.
24204,Norway-Tele2
24014,Sweden-Tele2 Business AB
20402,Netherlands-Tele2
24010,Sweden-Spring Mobil
311690,United States of America-TeleBEEPER of New Mexico
62302,Central African Republic-TC
61303,Burkina Faso-Telecel Faso
21411,"Spain-TELECOM CASTILLA-LA MANCHA, S.A."
54801,Cook Islands (Pacific Ocean)-Bluesky
60204,Egypt-WE
54203,Fiji-TFL
22243,Italy-TIM
22248,Italy-TIM
41840,Iraq-Korek
64902,Namibia-switch
35005,Bermuda-Telecom Networks
53000,New Zealand-Telecom
53002,New Zealand-Telecom
55501,Niue-Telecom Niue
310840,United States of America-telna Mobile
312300,United States of America-telna Mobile
22101,Kosovo-Vala
722034,Argentina-Personal
722341,Argentina-Personal
54101,Vanuatu-SMILE
25093,Russian Federation-Telecom XXI
90146,Worldwide-Telecom26 AG
22862,Switzerland-Telecom26 AG
43214,Iran-TKC/KFZO
35001,Bermuda-Digicel Bermuda
74605,Suriname-Telesur
334100,Mexico-Telecomunicaciones de México
73406,Venezuela-Movilnet
26802,Portugal-MEO
26880,Portugal-MEO
20407,Netherlands-Teleena (MVNE)
90154,Worldwide-Teleena Holding B.V.
23427,United Kingdom-Teleena UK Limited
24060,Sweden-Telefonaktiebolaget LM Ericsson
36278,Former Netherlands Antilles-Telbo
71030,Nicaragua-movistar
23402,United Kingdom-O2 (UK)
23411,United Kingdom-O2 (UK)
26203,Germany-O2
26205,Germany-O2
26208,Germany-O2
26211,Germany-O2
26217,Germany-O2
26277,Germany-O2
73007,Chile-movistar
722010,Argentina-Movistar
722070,Argentina-Movistar
21405,Spain-Movistar
21432,Spain-Tuenti
21438,"Spain-Telefónica Móviles España, S.A.U."
71402,Panama-movistar
334066,"Mexico-Telefonos de México, S.A.B. de C.V."
310140,Guam (USA)-GTA Wireless
310140,United States of America-GTA Wireless
24703,Latvia-TRIATEL
52801,Brunei-TelBru
26206,Germany-Telekom
26278,Germany-Telekom
50214,Malaysia-Telekom Malaysia Berhad for PSTN SMS
50201,Malaysia-ATUR 450
50211,Malaysia-TM Homeline
22602,Romania-Clicknet Mobile
22604,Romania-Cosmote/Zapp
22606,Romania-Telekom/Zapp
22003,Serbia-mts
502157,Malaysia-Telin
24044,Sweden-Telenabler AB
20605,Belgium-Telenet
23877,Denmark-Telenor
22002,Serbia-Telenor
24212,Norway-Telenor
24006,Sweden-Telenor
43270,Iran-MTCE
43271,Iran-KOOHE NOOR
23422,United Kingdom-Telesign Mobile Limited
62016,Ghana-Telesol
73012,Chile-Colo-Colo MóvilWanderers Móvil
23588,United Kingdom-Telet Research (N.I.) Limited
47004,Bangladesh-TeleTalk
55401,Tokelau-Teletok
24203,Norway-Televerket AS
24807,Estonia-Kou
23419,United Kingdom-Private Mobile Networks PMN
23896,Denmark-Telia
24813,Estonia-Telia Eesti AS
24420,Finland-Telia Finland Oyj
24436,Finland-Telia / DNA
24202,Norway-Telia
24492,Finland-Sonera
53702,Papua New Guinea-citifon
65505,South Africa-Telkom SA Ltd
311210,United States of America-Telnyx LLC
26216,Germany-Telogic Germany GmbH
50571,Australia-Telstra
50572,Australia-Telstra
50511,Australia-Telstra
50539,Australia-Telstra
53004,New Zealand-Vodafone
302221,Canada-Telus
302222,Canada-Telus
302360,Canada-MiKe
302361,Canada-Telus
302653,Canada-Telus
302657,Canada-Telus
302760,Canada-Public Mobile
302860,Canada-Telus
313000,United States of America-Tennessee Wireless
26046,Poland-Terra Telekom Sp. z o.o.
302730,Canada-TerreStar Solutions
311620,"United States of America-TerreStar Networks, Inc."
312110,United States of America-Texas Energy Network LLC
310980,United States of America-Peoples Telephone
313400,"United States of America-Texoma Communications, LLC"
312690,"United States of America-TGS, LLC"
50532,Australia-Thales Australia
20893,France-Thales Communications & Security SAS
20897,France-Thales Communications & Security SAS
23454,United Kingdom-iD Mobile
45618,Cambodia-Cellcard
65533,South Africa-Thinta Thinta Telecommunications Pty Ltd
311050,United States of America-Thumb Cellular LP
311830,United States of America-Thumb Cellular LP
302650,Canada-TBaytel
302656,Canada-TBay
90106,Worldwide-Thuraya Satellite Telecommunications Company
28413,Bulgaria-??.???
51402,East Timor-TT
25062,Russian Federation-Tinkoff Mobile
22247,Italy-Tiscali
23816,Denmark-Tismi B.V.
24437,Finland-Tismi
27416,Iceland-Tismi BV
24048,Sweden-Tismi BV
23409,United Kingdom-Tismi BV
50548,Australia-Titan ICT Pty Ltd
72430,Brazil-Oi
302770,Canada-TNW Wireless
44091,Japan-Tokyo Organising Committee of the Olympic and Paralympic Games
53901,Tonga-U-Call
28803,Faroe Islands-Tosa Sp/F
52015,Thailand-AIS-T / TOT Mobile
52047,Thailand-dtac-T / LINE / TOT Mobile
23107,"Slovakia-Towercom, a. s."
50514,Australia-AAPT
52510,Singapore-TPG Telecom Pte Ltd
24410,Finland-Traficom
24411,Finland-Traficom
24034,Sweden-Trafikverket centralfunktion IT
24021,Sweden-MobiSir
310520,United States of America-TNS
46699,Taiwan-TransAsia
90137,Worldwide-Transatel
20822,France-Transatel Mobile
313560,United States of America-Transit Wireless LLC
312350,United States of America-Triangle Communication System Inc.
312730,United States of America-Triangle Communication System Inc.
73013,Chile-Virgin Mobile
37004,Dominican Republic-Viva
52025,Thailand-WE PCT
23425,United Kingdom-Truphone
20812,France-Truphone
45408,Hong Kong-Truphone
26033,Poland-Truphone
50538,Australia-Truphone
312490,"United States of America-TrustComm, Inc."
37412,Trinidad and Tobago-bmobile
43603,Tajikistan-MegaFon
23866,Denmark-TT-Netværket P/S
24424,Finland-TTY-säätiö
502150,Malaysia-Tune Talk
24444,Finland-Turun ammattikorkeakoulu Oy
29370,Slovenia-Telemach
55301,Tuvalu-TTC
90162,Worldwide-Twilio Inc.
24026,Sweden-Twilio Sweden AB
310860,United States of America-Five Star Wireless
310570,United States of America-Cellular One
310390,United States of America-Cellular One of East Texas
90134,Worldwide-tyntec GmbH
310940,United States of America-Tyntec Inc.
310066,United States of America-U.S. Cellular
310730,United States of America-U.S. Cellular
311220,United States of America-U.S. Cellular
24606,Lithuania-Mediafon
24811,Estonia-UAB Raystorm Eesti filiaal
310960,United States of America-STRATA
732208,Colombia-UFF Movil SAS
311860,United States of America-STRATA
312290,United States of America-STRATA
23451,United Kingdom-Relish
23503,United Kingdom-Relish
24431,Finland-Kuiri
24435,Finland-Ukko Mobile
334150,Mexico-Ultranet
90188,Worldwide-UN Office for the Coordination of Humanitarian Affairs (OCHA)
732020,Colombia-Tigo
732142,Colombia-Une EPM Telecomunicaciones S.A. E.S.P.
20413,Netherlands-Unica Installatietechniek B.V.
72437,Brazil-aeiou
52803,Brunei-UNN
37202,Haiti-Digicel
23108,"Slovakia-Uniphone, s.r.o."
42903,Nepal-UTL
36259,Former Netherlands Antilles-Chippie
36260,Former Netherlands Antilles-Chippie
36291,Former Netherlands Antilles-Chippie
311650,United States of America-United Wireless
63757,Somalia-UNITEL
62602,Sao Tome and Principe-Unitel STP
43407,Uzbekistan-UMS
23504,United Kingdom-University of Strathclyde
23506,United Kingdom-University of Strathclyde
23507,United Kingdom-University of Strathclyde
40448,India-Dishnet Wireless
20630,Belgium-Mobile Vikings
27215,Ireland-Virgin Mobile
21671,Hungary-upc
20418,Netherlands-upc
22853,Switzerland-upc cablecom
44001,Japan-UQ WiMAX
44110,Japan-UQ WiMAX
20466,Netherlands-Utility Connect B.V.
356070,Saint Kitts and Nevis-Chippie
34003,French Antilles (France)-Chippie
40415,India-Vodafone India
40455,India-cellone
40521,India-Reliance
40454,India-cellone
40522,India-Reliance
40566,India-Vodafone India
405818,India-Uninor
43403,Uzbekistan-UzMobile
43408,Uzbekistan-UzMobile
43402,Uzbekistan-Uzmacom
25022,Russian Federation-Vainakh Telecom
313230,United States of America-Velocity Communications Inc.
310004,United States of America-Verizon
310005,United States of America-Verizon
310006,United States of America-Verizon
310010,United States of America-Verizon
310012,United States of America-Verizon
310013,United States of America-Verizon
310350,United States of America-Verizon
310590,United States of America-Verizon Wireless
310820,United States of America-Verizon Wireless
310890,United States of America-Verizon Wireless
310910,United States of America-Verizon Wireless
311012,United States of America-Verizon
311110,United States of America-Verizon
311270,United States of America-Verizon
311271,United States of America-Verizon
311272,United States of America-Verizon
311273,United States of America-Verizon
311274,United States of America-Verizon
311275,United States of America-Verizon
311276,United States of America-Verizon
311277,United States of America-Verizon
311278,United States of America-Verizon
311279,United States of America-Verizon
311280,United States of America-Verizon
311281,United States of America-Verizon
311282,United States of America-Verizon
311283,United States of America-Verizon
311284,United States of America-Verizon
311285,United States of America-Verizon
311286,United States of America-Verizon
311287,United States of America-Verizon
311288,United States of America-Verizon
311289,United States of America-Verizon
311390,United States of America-Verizon
311481,United States of America-Verizon
311482,United States of America-Verizon
311483,United States of America-Verizon
311484,United States of America-Verizon
311485,United States of America-Verizon
311486,United States of America-Verizon
311487,United States of America-Verizon
311488,United States of America-Verizon
311489,United States of America-Verizon
311590,United States of America-Verizon
312770,United States of America-Verizon
310740,United States of America-Viaero
24047,Sweden-Viatel Sweden AB
50516,Australia-VicTrack
302510,Canada-Videotron
302520,Canada-Videotron
45609,Cambodia-Metfone
23438,United Kingdom-Virgin Mobile
732154,Colombia-Virgin Mobile
26045,Poland-Virgin Mobile Polska Sp. z o.o.
42005,Saudi Arabia-Virgin Mobile
71220,Costa Rica-fullmóvil
62125,Nigeria-Visafone
90151,Worldwide-VisionNG
311470,United States of America-Viya
54705,French Polynesia (France)-Ora
24808,Estonia-VIVEX
313090,"United States of America-Vivint Wireless, Inc."
46609,Taiwan-VMAX
65110,Lesotho-Vodacom
65565,South Africa-Vodacom Pty Ltd
23407,United Kingdom-Vodafone UK
23099,Czech Republic-Vodafone
26204,Germany-Vodafone
26209,Germany-Vodafone
21424,"Spain-VODAFONE ESPAÑA, S.A.U."
54201,Fiji-Vodafone
50506,Australia-3
50512,Australia-3
22206,Italy-Vodafone
50507,Australia-Vodafone
26891,Portugal-Vodafone
40488,India-Vodafone India
21406,Spain-Vodafone
21418,Spain-ONO
21437,Spain-Vodafone Spain
23591,United Kingdom-Vodafone UK
23592,United Kingdom-Vodafone UK
20403,Netherlands-Voiceworks
26220,Germany-Voiceworks
20411,Netherlands-VoipIT B.V.
250811,Russian Federation-Votek Mobile
90124,Worldwide-iNum
20609,Belgium-Voxbone
23808,Denmark-Voxbone
20818,France-Voxbone
20462,Netherlands-Voxbone
24038,Sweden-Voxbone
24432,Finland-Voxbone
26039,Poland-Voxbone
312200,United States of America-Voyager Mobility LLC
64202,Burundi-Tempo
311990,United States of America-VTel Wireless
73008,Chile-VTR Móvil
60405,Morocco-INWI
54107,Vanuatu-WanTok
62907,Congo-Airtel
41255,Afghanistan-WASEL
42506,Israel-Wataniya Mobile
42506,Palestine-Wataniya
310400,Guam (USA)-iConnect
310480,Guam (USA)-iConnect
311120,Guam (USA)-iConnect
